conf,adx,di_diff_min,side,n_trades,win_rate,profit_factor,avg_r,total_pnl,n_long,n_short
0.9,35,5.0,short,27,0.8518518518518519,5.426030583675836,0.5146071746845414,2832.559298409014,0,27
0.9,35,10.0,short,25,0.84,5.078217973873063,0.5128176788729363,2609.967108098721,0,25
0.9,35,0.0,short,33,0.7878787878787878,3.3686231694034903,0.4398775982690758,3001.1902232869943,0,33
0.9,35,15.0,short,19,0.7894736842105263,2.6928989751677337,0.379773568903577,1436.734055805249,0,19
0.85,35,15.0,long,96,0.7083333333333334,2.2162039156545976,0.3285446258907936,6581.631934582612,96,0
0.85,35,15.0,both,173,0.7225433526011561,2.143742756759661,0.3107587394439494,11671.39766875283,95,78
0.85,35,15.0,short,78,0.7307692307692307,2.006917152142501,0.27277806915153374,4350.9725605026215,0,78
0.85,35,10.0,short,102,0.7156862745098039,1.8194289219237516,0.2320170274320129,4764.324791342314,0,102
0.85,35,5.0,short,114,0.6929824561403509,1.8176669509414622,0.2350201249960758,5447.874083583679,0,114
0.9,35,15.0,both,51,0.7450980392156863,1.8113295068583373,0.21864357252151959,2259.165230127752,32,19
0.85,35,0.0,short,130,0.6615384615384615,1.6598604323817503,0.2128236336288009,5641.9728805835275,0,130
0.85,30,15.0,long,135,0.6444444444444445,1.6384350726300057,0.2000527503455902,5732.492340967645,135,0
0.85,25,15.0,long,161,0.6335403726708074,1.6096604172286326,0.19075052918644103,6571.711209766289,161,0
0.85,30,15.0,both,260,0.6423076923076924,1.4636858336154535,0.15196145951620457,8378.022582868682,134,126
0.9,35,15.0,long,32,0.71875,1.4379783416387604,0.12297263716967298,819.7936853748324,32,0
0.8,35,15.0,short,141,0.6595744680851063,1.4310844970625343,0.15281191184254397,4212.200170573589,0,141
0.8,35,15.0,both,293,0.6416382252559727,1.4225051359694831,0.1495642517786066,8920.455135719118,154,139
0.8,35,15.0,long,155,0.6193548387096774,1.3970018709977365,0.143075447096296,4437.883303077562,155,0
0.9,30,15.0,long,43,0.6744186046511628,1.3796081764845431,0.12193547197280714,1106.945548687654,43,0
0.85,25,15.0,both,351,0.6153846153846154,1.3497205376514159,0.12358666498612943,8851.157270895314,159,192
0.8,25,15.0,long,277,0.5956678700361011,1.3086448428467308,0.10998065332130633,6613.213498818929,277,0
0.8,35,10.0,short,180,0.6388888888888888,1.2932931124104123,0.10591677123121092,3769.496991944162,0,180
0.85,35,10.0,both,278,0.6294964028776978,1.2489773413366756,0.09181014037644321,4973.89965759878,178,100
0.8,35,5.0,short,198,0.6262626262626263,1.2472721182484645,0.0946358963913191,3566.3786403376566,0,198
