date,scan_total,no_dir,dir_total,PASS,fail_adx,fail_conf,fail_di,dir_rejected,near_max_adx,near_max_conf,near_max_di,last_scan_utc,gate_adx,gate_conf,gate_di
2026-09-10,52,33,19,0,0,19,0,19,86.1826,0.7001,29.3710,2026-09-10T19:04:37Z,35.0,0.8,15.0
2026-09-11,76,38,38,0,19,15,4,38,89.4370,1.0000,22.9323,2026-09-12T00:02:10Z,35.0,0.8,15.0
2026-09-12,36,27,9,0,9,0,0,9,24.9484,1.0000,11.7668,2026-09-12T09:02:02Z,35.0,0.8,15.0
2026-09-13,60,34,26,0,19,6,1,26,45.9967,1.0000,23.6382,2026-09-13T21:00:43Z,35.0,0.8,15.0
2026-09-14,60,58,2,0,2,0,0,2,25.4189,1.0000,39.3262,2026-09-14T20:04:44Z,35.0,0.8,15.0
2026-09-15,92,26,66,4,25,17,20,62,57.6654,1.0000,31.5574,2026-09-15T23:04:13Z,35.0,0.8,15.0
2026-09-16,60,4,56,0,18,33,5,56,63.8940,0.9652,29.2130,2026-09-16T15:01:49Z,35.0,0.8,15.0
2026-09-17,60,14,46,0,45,1,0,46,35.4854,1.0000,29.4193,2026-09-17T21:00:53Z,35.0,0.8,15.0
2026-09-18,32,18,14,0,14,0,0,14,32.9037,1.0000,36.0558,2026-09-18T09:03:56Z,35.0,0.8,15.0
2026-09-19,72,54,18,0,18,0,0,18,34.3447,1.0000,20.1182,2026-09-20T00:02:11Z,35.0,0.8,15.0
2026-09-20,72,17,55,0,34,21,0,55,62.4289,1.0000,33.6152,2026-09-20T21:00:23Z,35.0,0.8,15.0
2026-09-21,68,38,30,0,23,7,0,30,45.1265,1.0000,41.3105,2026-09-21T21:01:06Z,35.0,0.8,15.0
2026-09-22,60,43,17,0,8,9,0,17,40.6534,1.0000,23.1282,2026-09-22T16:02:17Z,35.0,0.8,15.0
2026-09-23,44,12,32,0,25,7,0,32,48.9311,1.0000,16.4333,2026-09-23T21:02:36Z,35.0,0.8,15.0
2026-09-24,60,6,54,0,50,4,0,54,38.2343,0.9953,25.4749,2026-09-24T21:04:26Z,35.0,0.8,15.0
2026-09-25,72,16,56,4,15,34,3,52,58.9976,1.0000,47.1459,2026-09-26T00:03:38Z,35.0,0.8,15.0
2026-09-26,28,15,13,0,11,2,0,13,44.5770,1.0000,10.3860,2026-09-26T07:01:02Z,35.0,0.8,15.0
